date,cash,positions_value,equity,daily_return
20250701,100000000.0,0.0,100000000.0,0.0
20250702,100000000.0,0.0,100000000.0,0.0
20250703,100000000.0,0.0,100000000.0,0.0
20250704,100000000.0,0.0,100000000.0,0.0
20250705,100000000.0,0.0,100000000.0,0.0
20250706,100000000.0,0.0,100000000.0,0.0
20250707,100000000.0,0.0,100000000.0,0.0
20250708,100000000.0,0.0,100000000.0,0.0
20250709,100000000.0,0.0,100000000.0,0.0
20250710,100020176.23,0.0,100020176.23,0.000202
20250711,99979722.66,0.0,99979722.66,-0.000404
20250712,99979722.66,0.0,99979722.66,-0.0
20250713,99979722.66,0.0,99979722.66,-0.0
20250714,99918975.36,0.0,99918975.36,-0.000608
20250715,99959980.35,0.0,99959980.35,0.00041
20250716,99888395.37,0.0,99888395.37,-0.000716
20250717,99930078.75,0.0,99930078.75,0.000417
20250718,99860530.79,0.0,99860530.79,-0.000696
20250719,99860530.79,0.0,99860530.79,-0.0
20250720,99860530.79,0.0,99860530.79,-0.0
20250721,99883810.03,0.0,99883810.03,0.000233
20250722,99762690.86,0.0,99762690.86,-0.001213
20250723,99714214.81,0.0,99714214.81,-0.000486
20250724,99569406.29,0.0,99569406.29,-0.001452
20250725,99490956.89,0.0,99490956.89,-0.000788
