종목코드,상승확률
000220,0.857
023960,0.832
104040,0.797
027830,0.791
014710,0.787
054940,0.784
002230,0.779
063160,0.765
026150,0.761
073540,0.759
025860,0.758
017900,0.745
032750,0.739
012160,0.732
109080,0.728
010040,0.725
012610,0.722
131180,0.712
086980,0.705
001550,0.704
067770,0.699
056700,0.696
003520,0.694
040610,0.694
037350,0.688
091340,0.688
045660,0.685
036120,0.68
004560,0.666
032080,0.66
018470,0.658
059100,0.655
000210,0.634
021320,0.634
053280,0.634
066310,0.631
014470,0.625
069330,0.624
014440,0.615
036090,0.611
069140,0.604
000890,0.603
005750,0.603
123860,0.602
049960,0.597
004770,0.595
012450,0.56
057540,0.555
