종목코드,현재가,기대수익,예상손실,손익비,상승확률(%),권장수량,루프,타임스탬프
012450,884000,47229.14,47236.89,1.0,81.0,11,1,2025-08-30 13:15:17
003570,62500,7388.49,3850.73,1.92,87.0,160,1,2025-08-30 13:15:17
052330,8830,194.96,514.02,0.38,71.0,1132,1,2025-08-30 13:15:17
054780,4080,91.46,205.17,0.45,77.0,2450,1,2025-08-30 13:15:17
018470,1460,60.88,100.0,0.93,78.0,6849,1,2025-08-30 13:15:17
086980,2720,49.78,107.17,0.46,63.0,3676,1,2025-08-30 13:15:17
104040,1160,38.91,100.0,0.64,73.0,8620,1,2025-08-30 13:15:17
032750,4050,38.0,236.05,0.16,60.0,2469,1,2025-08-30 13:15:17
010040,2240,36.47,100.0,0.38,61.0,4464,1,2025-08-30 13:15:17
009580,2620,17.24,100.0,0.18,60.0,3816,1,2025-08-30 13:15:17
