date,capital
20250602,10000617.38915173
20250604,9997012.980880344
20250605,10006833.12813533
20250609,9999384.397686549
20250610,9992130.97782858
20250611,9994072.910241002
20250612,9986710.941206558
20250613,9964258.025650132
20250616,9963728.143394167
20250617,9951256.486039633
20250618,10008140.62357857
20250619,9993523.029240737
20250620,10025698.18136241
20250623,10034290.790576532
20250624,10049945.748435505
20250625,10043429.358472727
20250626,10029433.385565735
20250627,10011151.49927375
20250630,10011600.331807874
20250701,10020113.046363141
20250702,10019690.603016721
20250703,10036411.21569095
20250704,10030119.177726356
20250707,10026374.618228396
20250708,10029067.140778223
20250709,10018444.28825226
